run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.3950897462347844
I_recorrente_D_,1,[1],0.6850091037831276
I_recorrente_D_,2,[2],0.5507914245642156
I_recorrente_D_,3,[3],0.6215991692627206
I_recorrente_D_,4,[4],0.5952634947727757
I_recorrente_D_,5,[5],0.6308145653546622
I_recorrente_D_,6,[6],0.7232449929192798
I_recorrente_D_,7,[7],0.5001041883725776
I_recorrente_D_,8,[8],0.4426610348468849
I_recorrente_D_,9,[9],0.6992586655980766
I_recorrente_D_,10,[10],0.7092511013215859
I_recorrente_D_,11,[11],0.4714193962748876
I_recorrente_D_,0,[0],0.3950897462347844
I_recorrente_D_,1,[1],0.6850091037831276
I_recorrente_D_,2,[2],0.5507914245642156
I_recorrente_D_,3,[3],0.6215991692627206
I_recorrente_D_,4,[4],0.5952634947727757
I_recorrente_D_,5,[5],0.6308145653546622
I_recorrente_D_,6,[6],0.7232449929192798
I_recorrente_D_,7,[7],0.5001041883725776
I_recorrente_D_,8,[8],0.4426610348468849
I_recorrente_D_,9,[9],0.6992586655980766
I_recorrente_D_,10,[10],0.7092511013215859
I_recorrente_D_,11,[11],0.4714193962748876
