run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.3649680214565711
I_recorrente_D_,1,[1],0.697754400161845
I_recorrente_D_,2,[2],0.6125025045081146
I_recorrente_D_,3,[3],0.463343717549325
I_recorrente_D_,4,[4],0.6639641561766588
I_recorrente_D_,5,[5],0.6653336139760051
I_recorrente_D_,6,[6],0.641513251062108
I_recorrente_D_,7,[7],0.507397374453011
I_recorrente_D_,8,[8],0.6350580781414995
I_recorrente_D_,9,[9],0.5796433580444801
I_recorrente_D_,10,[10],0.7478498007132368
I_recorrente_D_,11,[11],0.45728965960179835
