run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.409119042706829
I_recorrente_D_,1,[1],0.7272911187537933
I_recorrente_D_,2,[2],0.5285513925065117
I_recorrente_D_,3,[3],0.43198338525441327
I_recorrente_D_,4,[4],0.4518882014081502
I_recorrente_D_,5,[5],0.5609345400968218
I_recorrente_D_,6,[6],0.6473801335221525
I_recorrente_D_,7,[7],0.49781204417587
I_recorrente_D_,8,[8],0.5543822597676874
I_recorrente_D_,9,[9],0.5169304748547385
I_recorrente_D_,10,[10],0.7191105517096706
I_recorrente_D_,11,[11],0.4080496681652751
