run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.5537445842789355
I_recorrente_D_,1,[1],0.7143435160833502
I_recorrente_D_,2,[2],0.7441394510118213
I_recorrente_D_,3,[3],0.4992731048805815
I_recorrente_D_,4,[4],0.6488158736931939
I_recorrente_D_,5,[5],0.6306040833508735
I_recorrente_D_,6,[6],0.8302650212421606
I_recorrente_D_,7,[7],0.5253177745363617
I_recorrente_D_,8,[8],0.6238648363252376
I_recorrente_D_,9,[9],0.5049088359046283
I_recorrente_D_,10,[10],0.7839311936228236
I_recorrente_D_,11,[11],0.5230143438235924
