run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.5045345267183724
I_recorrente_D_,1,[1],0.7112194209764472
I_recorrente_D_,2,[2],0.737147676810957
I_recorrente_D_,3,[3],0.4972776901589843
I_recorrente_D_,4,[4],0.6358505547302596
I_recorrente_D_,5,[5],0.6287297205459407
I_recorrente_D_,6,[6],0.8279027646196814
I_recorrente_D_,7,[7],0.4158268876731753
I_recorrente_D_,8,[8],0.6271581921875934
I_recorrente_D_,9,[9],0.48431929236169635
I_recorrente_D_,10,[10],0.7820669287087791
I_recorrente_D_,11,[11],0.5281838661973305
