run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.3055368203374013
I_recorrente_D_,1,[1],0.6981731377829211
I_recorrente_D_,2,[2],0.47830924178214895
I_recorrente_D_,3,[3],0.34355733546704903
I_recorrente_D_,4,[4],0.5640354920403392
I_recorrente_D_,5,[5],0.4864011738478068
I_recorrente_D_,6,[6],0.6618682305584885
I_recorrente_D_,7,[7],0.3969816760429069
I_recorrente_D_,8,[8],0.47725534919394563
I_recorrente_D_,9,[9],0.477069378744703
I_recorrente_D_,10,[10],0.6730161911072021
I_recorrente_D_,11,[11],0.45469189303709845
