run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
I_recorrente_D_,0,[0],53093,4847,104,104
I_recorrente_D_,1,[1],52997,4943,104,104
I_recorrente_D_,2,[2],52949,4991,104,104
I_recorrente_D_,3,[3],53125,4815,104,104
I_recorrente_D_,4,[4],53253,4687,104,104
I_recorrente_D_,5,[5],53189,4751,104,104
I_recorrente_D_,6,[6],52997,4943,104,104
I_recorrente_D_,7,[7],53141,4799,104,104
I_recorrente_D_,8,[8],53205,4735,104,104
I_recorrente_D_,9,[9],52949,4991,104,104
I_recorrente_D_,10,[10],53173,4767,104,104
I_recorrente_D_,11,[11],53269,4671,104,104
