run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.3335818750497407
I_recorrente_D_,1,[1],0.6847693124741827
I_recorrente_D_,2,[2],0.482131062281343
I_recorrente_D_,3,[3],0.47858197825374577
I_recorrente_D_,4,[4],0.4579597788636399
I_recorrente_D_,5,[5],0.588246852174072
I_recorrente_D_,6,[6],0.5412594282024301
I_recorrente_D_,7,[7],0.3883912143201655
I_recorrente_D_,8,[8],0.580056855953383
I_recorrente_D_,9,[9],0.5187111780538984
I_recorrente_D_,10,[10],0.5841777818379366
I_recorrente_D_,11,[11],0.4726881913157095
