run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.6265731380235197
I_recorrente_D_,1,[1],0.8727493425045519
I_recorrente_D_,2,[2],0.7761971548787818
I_recorrente_D_,3,[3],0.6344755970924195
I_recorrente_D_,4,[4],0.6366545764881587
I_recorrente_D_,5,[5],0.6508103557145865
I_recorrente_D_,6,[6],0.7881853125632207
I_recorrente_D_,7,[7],0.6540946030423005
I_recorrente_D_,8,[8],0.8111932418162618
I_recorrente_D_,9,[9],0.6627930274494089
I_recorrente_D_,10,[10],0.7927417663100482
I_recorrente_D_,11,[11],0.6934275315778206
