run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.549618320610687
I_recorrente_D_,1,[1],0.8134735990289298
I_recorrente_D_,2,[2],0.7130835503907033
I_recorrente_D_,3,[3],0.7345794392523365
I_recorrente_D_,4,[4],0.7277576274802645
I_recorrente_D_,5,[5],0.8006735424121237
I_recorrente_D_,6,[6],0.8314788589925146
I_recorrente_D_,7,[7],0.5132319233173578
I_recorrente_D_,8,[8],0.7653643083421331
I_recorrente_D_,9,[9],0.6607894209577239
I_recorrente_D_,10,[10],0.8239983217956787
I_recorrente_D_,11,[11],0.7276814386640976
