run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.4737503447925455
I_recorrente_D_,1,[1],0.8049403785455977
I_recorrente_D_,2,[2],0.69200016241849
I_recorrente_D_,3,[3],0.7336545676802848
I_recorrente_D_,4,[4],0.7258916345336239
I_recorrente_D_,5,[5],0.7944348383789674
I_recorrente_D_,6,[6],0.8327454360382878
I_recorrente_D_,7,[7],0.4112136226313684
I_recorrente_D_,8,[8],0.7420893447854976
I_recorrente_D_,9,[9],0.6535332314802935
I_recorrente_D_,10,[10],0.8232410098372962
I_recorrente_D_,11,[11],0.7329134979497984
