run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.425830410563235
I_recorrente_D_,1,[1],0.7299211005462269
I_recorrente_D_,2,[2],0.5221398517331196
I_recorrente_D_,3,[3],0.5611630321910696
I_recorrente_D_,4,[4],0.4471943673991893
I_recorrente_D_,5,[5],0.5710376762786782
I_recorrente_D_,6,[6],0.6530447096904713
I_recorrente_D_,7,[7],0.496145030214628
I_recorrente_D_,8,[8],0.4608236536430834
I_recorrente_D_,9,[9],0.5263474253656582
I_recorrente_D_,10,[10],0.7063142437591777
I_recorrente_D_,11,[11],0.43288375080282593
