run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.7671423877154421
I_recorrente_D_,1,[1],0.5817907912729761
I_recorrente_D_,2,[2],0.6063899803193875
I_recorrente_D_,3,[3],0.721736778672436
I_recorrente_D_,4,[4],0.40822664059917646
I_recorrente_D_,5,[5],0.630429987892728
I_recorrente_D_,6,[6],0.5022266088014113
I_recorrente_D_,7,[7],0.7625566739520808
I_recorrente_D_,8,[8],0.7607871651473648
I_recorrente_D_,9,[9],0.5976286498018515
I_recorrente_D_,10,[10],0.727763650822787
I_recorrente_D_,11,[11],0.6577416616534104
