run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.0575715115176794
I_recorrente_D_,1,[1],0.3121576332879639
I_recorrente_D_,2,[2],0.4102028216211656
I_recorrente_D_,3,[3],0.264789408387245
I_recorrente_D_,4,[4],0.22639223706744976
I_recorrente_D_,5,[5],0.18790851331571126
I_recorrente_D_,6,[6],0.3195934155336875
I_recorrente_D_,7,[7],0.2936617424108729
I_recorrente_D_,8,[8],0.2434849356336567
I_recorrente_D_,9,[9],0.2531559261055377
I_recorrente_D_,10,[10],0.3153390693685462
I_recorrente_D_,11,[11],0.29772607336942186
