run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.13344051446945338
I_recorrente_D_,1,[1],0.16462933753943218
I_recorrente_D_,2,[2],0.3103515625
I_recorrente_D_,3,[3],0.2273462783171521
I_recorrente_D_,4,[4],0.22674418604651161
I_recorrente_D_,5,[5],0.257172131147541
I_recorrente_D_,6,[6],0.27779968454258674
I_recorrente_D_,7,[7],0.35957792207792205
I_recorrente_D_,8,[8],0.3618421052631579
I_recorrente_D_,9,[9],0.231640625
I_recorrente_D_,10,[10],0.5049019607843137
I_recorrente_D_,11,[11],0.25333333333333335
