run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.3556211028458653
I_recorrente_D_,1,[1],0.4783498526920054
I_recorrente_D_,2,[2],0.8171322964925694
I_recorrente_D_,3,[3],0.41292601238467863
I_recorrente_D_,4,[4],0.5303811995105366
I_recorrente_D_,5,[5],0.5304799840511838
I_recorrente_D_,6,[6],0.4896762481660526
I_recorrente_D_,7,[7],0.4586908269860483
I_recorrente_D_,8,[8],0.6015504750718794
I_recorrente_D_,9,[9],0.3841031519312725
I_recorrente_D_,10,[10],0.5104784754144536
I_recorrente_D_,11,[11],0.49344527084400525
