run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.5984726688102894
I_recorrente_D_,1,[1],0.6529968454258676
I_recorrente_D_,2,[2],0.7513671875
I_recorrente_D_,3,[3],0.5724110032362459
I_recorrente_D_,4,[4],0.4113372093023256
I_recorrente_D_,5,[5],0.5754098360655737
I_recorrente_D_,6,[6],0.5889195583596214
I_recorrente_D_,7,[7],0.6670048701298701
I_recorrente_D_,8,[8],0.7232730263157895
I_recorrente_D_,9,[9],0.6724609375
I_recorrente_D_,10,[10],0.7048611111111112
I_recorrente_D_,11,[11],0.6704166666666667
