run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.7201237562050355
I_recorrente_D_,1,[1],0.5537848237829401
I_recorrente_D_,2,[2],0.6645168211927603
I_recorrente_D_,3,[3],0.6707462837065203
I_recorrente_D_,4,[4],0.6601424336364453
I_recorrente_D_,5,[5],0.7484658442380132
I_recorrente_D_,6,[6],0.7474383291012281
I_recorrente_D_,7,[7],0.7749679165425496
I_recorrente_D_,8,[8],0.7878068691837633
I_recorrente_D_,9,[9],0.5765543155755993
I_recorrente_D_,10,[10],0.6936625019371218
I_recorrente_D_,11,[11],0.6463361698849022
