run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.0014947690832358522
I_recorrente_D_,1,[1],0.30465817462225936
I_recorrente_D_,2,[2],0.33549540381699544
I_recorrente_D_,3,[3],0.16483679257434333
I_recorrente_D_,4,[4],0.20367941087304098
I_recorrente_D_,5,[5],0.0976243771519634
I_recorrente_D_,6,[6],0.4292225668557618
I_recorrente_D_,7,[7],0.4705437243067587
I_recorrente_D_,8,[8],0.3370616589669718
I_recorrente_D_,9,[9],0.085380942081973
I_recorrente_D_,10,[10],0.3537907254165217
I_recorrente_D_,11,[11],0.31753142645026006
