run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.4556426703830065
I_recorrente_D_,1,[1],0.5329357757366858
I_recorrente_D_,2,[2],0.6676054481689455
I_recorrente_D_,3,[3],0.7842014410894698
I_recorrente_D_,4,[4],0.7642428499674507
I_recorrente_D_,5,[5],0.4172903079477779
I_recorrente_D_,6,[6],0.5000481470571765
I_recorrente_D_,7,[7],0.40624617428619103
I_recorrente_D_,8,[8],0.8991544618088462
I_recorrente_D_,9,[9],0.5488870331113176
I_recorrente_D_,10,[10],0.7939409452463755
I_recorrente_D_,11,[11],0.7915953769743473
