run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.5645096463022508
I_recorrente_D_,1,[1],0.5295741324921136
I_recorrente_D_,2,[2],0.6064453125
I_recorrente_D_,3,[3],0.38855177993527507
I_recorrente_D_,4,[4],0.4962624584717608
I_recorrente_D_,5,[5],0.6815573770491803
I_recorrente_D_,6,[6],0.606269716088328
I_recorrente_D_,7,[7],0.5900974025974026
I_recorrente_D_,8,[8],0.5405016447368421
I_recorrente_D_,9,[9],0.60546875
I_recorrente_D_,10,[10],0.6252042483660131
I_recorrente_D_,11,[11],0.5845833333333333
