run,fold,test_bases,RF
I_recorrente_D_,0,[0],0.5345811828498447
I_recorrente_D_,1,[1],0.46094857843693504
I_recorrente_D_,2,[2],0.6806948790114947
I_recorrente_D_,3,[3],0.6233832018727699
I_recorrente_D_,4,[4],0.6654341678793196
I_recorrente_D_,5,[5],0.6941057755647284
I_recorrente_D_,6,[6],0.48968826149570766
I_recorrente_D_,7,[7],0.5797825438865795
I_recorrente_D_,8,[8],0.785181932658426
I_recorrente_D_,9,[9],0.5589627823958149
I_recorrente_D_,10,[10],0.6705805503262839
I_recorrente_D_,11,[11],0.6866638804826066
