run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.09721505930892213
I_recorrente_I_,1,[1],0.12976924431918266
I_recorrente_I_,2,[2],0.3975218393179678
I_recorrente_I_,3,[3],0.19639737290886047
I_recorrente_I_,4,[4],0.16908484347843125
I_recorrente_I_,5,[5],0.3087890295820338
I_recorrente_I_,6,[6],0.895103714886953
I_recorrente_I_,7,[7],0.019386266709437217
I_recorrente_I_,8,[8],0.18465019897107457
I_recorrente_I_,9,[9],0.21617617086271063
I_recorrente_I_,10,[10],0.3448311756772345
I_recorrente_I_,11,[11],0.395074793696272
