run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.3269397799652577
I_recorrente_I_,1,[1],0.35351855316295555
I_recorrente_I_,2,[2],0.1101521113869355
I_recorrente_I_,3,[3],0.3664085940523272
I_recorrente_I_,4,[4],0.2793154833050533
I_recorrente_I_,5,[5],0.47907266828009
I_recorrente_I_,6,[6],0.2794164853519455
I_recorrente_I_,7,[7],0.11664702952858721
I_recorrente_I_,8,[8],0.1606245656792105
I_recorrente_I_,9,[9],0.20349422294883773
I_recorrente_I_,10,[10],0.1706162486831632
I_recorrente_I_,11,[11],0.33507777865218646
