run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.34528963100391674
I_recorrente_I_,1,[1],0.20597451430958846
I_recorrente_I_,2,[2],0.0006351894982002964
I_recorrente_I_,3,[3],0.10126582278481013
I_recorrente_I_,4,[4],0.18455629674550234
I_recorrente_I_,5,[5],0.4820792286732341
I_recorrente_I_,6,[6],0.1261595547309833
I_recorrente_I_,7,[7],0.1545853352830583
I_recorrente_I_,8,[8],0.2445107652952462
I_recorrente_I_,9,[9],0.023977433004231313
I_recorrente_I_,10,[10],0.4918841175261968
I_recorrente_I_,11,[11],0.35273903375783305
