run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.33180700006285724
I_recorrente_I_,1,[1],0.2342451077301725
I_recorrente_I_,2,[2],0.09144525660362764
I_recorrente_I_,3,[3],0.006102871994129206
I_recorrente_I_,4,[4],0.1884902840059791
I_recorrente_I_,5,[5],0.5926877307635008
I_recorrente_I_,6,[6],0.5086682938438762
I_recorrente_I_,7,[7],0.12132052330335241
I_recorrente_I_,8,[8],0.09560514388313184
I_recorrente_I_,9,[9],0.043231686404573276
I_recorrente_I_,10,[10],0.3624273683436305
I_recorrente_I_,11,[11],0.25658596330911676
