run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.1381256366182837
I_recorrente_I_,1,[1],0.00040816326530612246
I_recorrente_I_,2,[2],0.02114571318723568
I_recorrente_I_,3,[3],0.1692178614102113
I_recorrente_I_,4,[4],0.0
I_recorrente_I_,5,[5],0.3283410306359942
I_recorrente_I_,6,[6],0.8861499982771217
I_recorrente_I_,7,[7],0.0996816553919618
I_recorrente_I_,8,[8],0.11897491821155944
I_recorrente_I_,9,[9],0.00025150905432595576
I_recorrente_I_,10,[10],0.4783248089741339
I_recorrente_I_,11,[11],0.28078004192190376
