run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.36281179138321995
I_recorrente_I_,1,[1],0.21057029454773343
I_recorrente_I_,2,[2],0.0025407579928011857
I_recorrente_I_,3,[3],0.1718198796430795
I_recorrente_I_,4,[4],0.02102284212654134
I_recorrente_I_,5,[5],0.4619576608677426
I_recorrente_I_,6,[6],0.2737579880437023
I_recorrente_I_,7,[7],0.2047211196991853
I_recorrente_I_,8,[8],0.17693455553186954
I_recorrente_I_,9,[9],0.02679830747531735
I_recorrente_I_,10,[10],0.26299568522703926
I_recorrente_I_,11,[11],0.4052961390741864
