run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.34310534066027587
I_recorrente_I_,1,[1],0.22347278444149482
I_recorrente_I_,2,[2],0.002517868445846285
I_recorrente_I_,3,[3],0.12655805786937324
I_recorrente_I_,4,[4],0.019302152932442463
I_recorrente_I_,5,[5],0.4093668872508119
I_recorrente_I_,6,[6],0.251312734280849
I_recorrente_I_,7,[7],0.1654078932532552
I_recorrente_I_,8,[8],0.16065082533131939
I_recorrente_I_,9,[9],0.01870377508611516
I_recorrente_I_,10,[10],0.26447985134110696
I_recorrente_I_,11,[11],0.3848161052505993
