run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.558877644296312
I_recorrente_I_,1,[1],0.11813643926788686
I_recorrente_I_,2,[2],0.001571621014818141
I_recorrente_I_,3,[3],0.12017167381974249
I_recorrente_I_,4,[4],0.11590202768032266
I_recorrente_I_,5,[5],0.30171981300596706
I_recorrente_I_,6,[6],0.013073570879261727
I_recorrente_I_,7,[7],0.18579163875086607
I_recorrente_I_,8,[8],0.27885430658082017
I_recorrente_I_,9,[9],0.08834012219959267
I_recorrente_I_,10,[10],0.23310642204098478
I_recorrente_I_,11,[11],0.14327816821582406
