run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.09032258064516129
I_recorrente_I_,1,[1],0.40236928104575165
I_recorrente_I_,2,[2],0.0012417218543046358
I_recorrente_I_,3,[3],0.24492694805194806
I_recorrente_I_,4,[4],0.15605221518987342
I_recorrente_I_,5,[5],0.3524590163934426
I_recorrente_I_,6,[6],0.4044354838709677
I_recorrente_I_,7,[7],0.2514297385620915
I_recorrente_I_,8,[8],0.24354166666666666
I_recorrente_I_,9,[9],0.3203864353312303
I_recorrente_I_,10,[10],0.2439710610932476
I_recorrente_I_,11,[11],0.49505537974683544
