run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.11209677419354838
I_recorrente_I_,1,[1],0.7030228758169934
I_recorrente_I_,2,[2],0.003104304635761589
I_recorrente_I_,3,[3],0.022118506493506492
I_recorrente_I_,4,[4],0.2650316455696203
I_recorrente_I_,5,[5],0.5727459016393442
I_recorrente_I_,6,[6],0.12963709677419355
I_recorrente_I_,7,[7],0.29044117647058826
I_recorrente_I_,8,[8],0.2975
I_recorrente_I_,9,[9],0.5136041009463722
I_recorrente_I_,10,[10],0.41479099678456594
I_recorrente_I_,11,[11],0.31408227848101267
