run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.19340178401442223
I_recorrente_I_,1,[1],0.15818199826047522
I_recorrente_I_,2,[2],0.19080895746866786
I_recorrente_I_,3,[3],0.17917107565265333
I_recorrente_I_,4,[4],0.29606759691879775
I_recorrente_I_,5,[5],0.154446360697435
I_recorrente_I_,6,[6],0.20688993926976515
I_recorrente_I_,7,[7],0.15931059132295763
I_recorrente_I_,8,[8],0.18530956683270947
I_recorrente_I_,9,[9],0.06027164283294049
I_recorrente_I_,10,[10],0.28107440857788085
I_recorrente_I_,11,[11],0.2671982822934979
