run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.1278338102704225
I_recorrente_I_,1,[1],0.19233969058498057
I_recorrente_I_,2,[2],0.00762660966852432
I_recorrente_I_,3,[3],0.1486328125
I_recorrente_I_,4,[4],0.17925115726516733
I_recorrente_I_,5,[5],0.19125538794741467
I_recorrente_I_,6,[6],0.22581717666270174
I_recorrente_I_,7,[7],0.22838738399431258
I_recorrente_I_,8,[8],0.29266775096821956
I_recorrente_I_,9,[9],0.031238286680631763
I_recorrente_I_,10,[10],0.16782681582429315
I_recorrente_I_,11,[11],0.23395502312793834
