run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.04872601658087884
I_recorrente_I_,1,[1],0.31348621812384264
I_recorrente_I_,2,[2],0.09818879428769549
I_recorrente_I_,3,[3],0.34840960880520716
I_recorrente_I_,4,[4],0.39721816090584106
I_recorrente_I_,5,[5],0.522574278795843
I_recorrente_I_,6,[6],0.05092339997205681
I_recorrente_I_,7,[7],0.3105369636831938
I_recorrente_I_,8,[8],0.3839800512212956
I_recorrente_I_,9,[9],0.2679493531914855
I_recorrente_I_,10,[10],0.24810458810306033
I_recorrente_I_,11,[11],0.13865555275905062
