run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.07572039510204515
I_recorrente_I_,1,[1],0.22275297706555408
I_recorrente_I_,2,[2],0.17559024211692761
I_recorrente_I_,3,[3],0.21475034577813956
I_recorrente_I_,4,[4],0.12082773768707274
I_recorrente_I_,5,[5],0.2546716554058275
I_recorrente_I_,6,[6],0.2823113779164951
I_recorrente_I_,7,[7],0.19010608408899105
I_recorrente_I_,8,[8],0.14996654897614764
I_recorrente_I_,9,[9],0.18195054524832394
I_recorrente_I_,10,[10],0.1856581237514251
I_recorrente_I_,11,[11],0.0811439401131104
