run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.17442505274229225
I_recorrente_I_,1,[1],0.025096525096525095
I_recorrente_I_,2,[2],0.037676043822062216
I_recorrente_I_,3,[3],0.08504492939666239
I_recorrente_I_,4,[4],0.3479929926041061
I_recorrente_I_,5,[5],0.07693470374848851
I_recorrente_I_,6,[6],0.21547460298217966
I_recorrente_I_,7,[7],0.24005854875394753
I_recorrente_I_,8,[8],0.13703279266572638
I_recorrente_I_,9,[9],0.1325124957803604
I_recorrente_I_,10,[10],0.414111593141518
I_recorrente_I_,11,[11],0.1356223175965665
