run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.6016129032258064
I_recorrente_I_,1,[1],0.0843545751633987
I_recorrente_I_,2,[2],0.10264900662251655
I_recorrente_I_,3,[3],0.12621753246753248
I_recorrente_I_,4,[4],0.2939082278481013
I_recorrente_I_,5,[5],0.44672131147540983
I_recorrente_I_,6,[6],0.5903225806451613
I_recorrente_I_,7,[7],0.3946078431372549
I_recorrente_I_,8,[8],0.15479166666666666
I_recorrente_I_,9,[9],0.29081230283911674
I_recorrente_I_,10,[10],0.4517684887459807
I_recorrente_I_,11,[11],0.5994857594936709
