run,fold,test_bases,RF
I_recorrente_I_,0,[0],0.09415322580645161
I_recorrente_I_,1,[1],0.31924019607843135
I_recorrente_I_,2,[2],0.10554635761589404
I_recorrente_I_,3,[3],0.31655844155844154
I_recorrente_I_,4,[4],0.03184335443037975
I_recorrente_I_,5,[5],0.3885245901639344
I_recorrente_I_,6,[6],0.38266129032258067
I_recorrente_I_,7,[7],0.2375408496732026
I_recorrente_I_,8,[8],0.4
I_recorrente_I_,9,[9],0.054219242902208205
I_recorrente_I_,10,[10],0.2059887459807074
I_recorrente_I_,11,[11],0.3674841772151899
